#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2008 11 02 01 10  22  3.9 999 99.0 9999
2008 11 02 01 20  43  4.8 999 99.0 9999
2008 11 02 01 30  44  3.8 999 99.0 9999
2008 11 02 01 40  57  3.8 999 99.0 9999
2008 11 02 01 50  64  4.2  33  6.2 0111
2008 11 02 02 00  72  4.9 999 99.0 9999
2008 11 02 02 10  75  5.8 999 99.0 9999
2008 11 02 02 20  72  6.6 999 99.0 9999
2008 11 02 02 30  69  6.9 999 99.0 9999
2008 11 02 02 40  63  7.4 999 99.0 9999
2008 11 02 02 50  55  7.3  65  8.9 0234
2008 11 02 03 00  53  6.6 999 99.0 9999
2008 11 02 03 10  47  7.5 999 99.0 9999
2008 11 02 03 20  54  7.5 999 99.0 9999
2008 11 02 03 30  52  6.6 999 99.0 9999
2008 11 02 03 40  48  6.8 999 99.0 9999
2008 11 02 03 50  47  6.5  45  9.1 0303
2008 11 02 04 00  46  6.8 999 99.0 9999
2008 11 02 04 10  48  6.8 999 99.0 9999
2008 11 02 04 20  46  6.1 999 99.0 9999
2008 11 02 04 30  46  6.1 999 99.0 9999
2008 11 02 04 40  45  6.4 999 99.0 9999
2008 11 02 04 50  39  5.9  48  7.8 0353
2008 11 02 05 00  44  5.9 999 99.0 9999
2008 11 02 05 10  41  6.1 999 99.0 9999
2008 11 02 05 20  39  6.1 999 99.0 9999
2008 11 02 05 30  39  6.2 999 99.0 9999
2008 11 02 05 40  32  6.2 999 99.0 9999
2008 11 02 05 50  28  6.9  33  8.1 0450
2008 11 02 06 00  29  7.2 999 99.0 9999
2008 11 02 06 10  25  7.1 999 99.0 9999
2008 11 02 06 20  24  7.8 999 99.0 9999
2008 11 02 06 30  23  7.7 999 99.0 9999
2008 11 02 06 40  26  7.5 999 99.0 9999
2008 11 02 06 50  28  7.7  23  9.1 0618
2008 11 02 07 00  23  7.7 999 99.0 9999
2008 11 02 07 10  22  7.7 999 99.0 9999
2008 11 02 07 20  23  8.0 999 99.0 9999
2008 11 02 07 30  22  8.7 999 99.0 9999
2008 11 02 07 40  23  8.9 999 99.0 9999
2008 11 02 07 50  21  9.0  21 10.4 0738
2008 11 02 08 00  24  9.0 999 99.0 9999
2008 11 02 08 10  23  8.9 999 99.0 9999
2008 11 02 08 20  17  9.2 999 99.0 9999
2008 11 02 08 30  19  9.5 999 99.0 9999
2008 11 02 08 40  23  9.5 999 99.0 9999
2008 11 02 08 50  28  8.8  21 11.6 0828
2008 11 02 09 00  28  8.6 999 99.0 9999
2008 11 02 09 10  23  8.8 999 99.0 9999
2008 11 02 09 20  19  9.0 999 99.0 9999
2008 11 02 09 30  18  8.9 999 99.0 9999
2008 11 02 09 40  19  8.9 999 99.0 9999
2008 11 02 09 50  16  9.3  10 11.4 0943
2008 11 02 10 00  15  9.3 999 99.0 9999
2008 11 02 10 10  11  9.5 999 99.0 9999
2008 11 02 10 20  16  8.6 999 99.0 9999
2008 11 02 10 30  16  8.9 999 99.0 9999
2008 11 02 10 40  17  9.1 999 99.0 9999
2008 11 02 10 50  17  9.8  18 12.1 1047
2008 11 02 11 00  18  9.8 999 99.0 9999
2008 11 02 11 10  23  9.7 999 99.0 9999
2008 11 02 11 20  25 10.1 999 99.0 9999
2008 11 02 11 30  21 10.5 999 99.0 9999
2008 11 02 11 40  20 10.4 999 99.0 9999
2008 11 02 11 50  17 10.9  26 13.6 1149
2008 11 02 12 00  18 10.9 999 99.0 9999
2008 11 02 12 10  21 10.6 999 99.0 9999
2008 11 02 12 20  21 10.2 999 99.0 9999
2008 11 02 12 30  26 10.7 999 99.0 9999
2008 11 02 12 40  26 10.2 999 99.0 9999
2008 11 02 12 50  28  9.9  10 12.8 1158
2008 11 02 13 00  29  9.9 999 99.0 9999
2008 11 02 13 10  32 10.0 999 99.0 9999
2008 11 02 13 20  32 10.2 999 99.0 9999
2008 11 02 13 30  34 10.2 999 99.0 9999
2008 11 02 13 40  34  9.8 999 99.0 9999
2008 11 02 13 50  35  9.3  30 12.7 1250
2008 11 02 14 00  36  8.3 999 99.0 9999
2008 11 02 14 10  36  8.7 999 99.0 9999
2008 11 02 14 20  36  8.3 999 99.0 9999
2008 11 02 14 30  40  7.7 999 99.0 9999
2008 11 02 14 40  42  8.0 999 99.0 9999
2008 11 02 14 50  47  7.7  40 10.9 1407
2008 11 02 15 00  40  6.9 999 99.0 9999
2008 11 02 15 10  48  6.3 999 99.0 9999
2008 11 02 15 20  52  6.3 999 99.0 9999
2008 11 02 15 30  49  6.7 999 99.0 9999
2008 11 02 15 40  49  6.1 999 99.0 9999
2008 11 02 15 50  57  6.2  38  8.5 1453
2008 11 02 16 00  50  6.3 999 99.0 9999
2008 11 02 16 10  47  6.5 999 99.0 9999
2008 11 02 16 20  50  6.0 999 99.0 9999
2008 11 02 16 30  47  6.3 999 99.0 9999
2008 11 02 16 40  46  6.0 999 99.0 9999
2008 11 02 16 50  44  5.8  40  8.4 1607
2008 11 02 17 00  42  5.8 999 99.0 9999
2008 11 02 17 10  43  6.3 999 99.0 9999
2008 11 02 17 20  44  6.0 999 99.0 9999
2008 11 02 17 30  56  5.6 999 99.0 9999
2008 11 02 17 40  45  5.7 999 99.0 9999
2008 11 02 17 50  39  6.3  53  9.3 1740
2008 11 02 18 00  44  6.0 999 99.0 9999
2008 11 02 18 10  40  5.9 999 99.0 9999
2008 11 02 18 20  51  5.5 999 99.0 9999
2008 11 02 18 30  61  5.5 999 99.0 9999
2008 11 02 18 40  56  5.3 999 99.0 9999
2008 11 02 18 50  60  4.9  44  8.3 1754
2008 11 02 19 00  58  4.9 999 99.0 9999
2008 11 02 19 10  60  5.1 999 99.0 9999
2008 11 02 19 20  68  5.3 999 99.0 9999
2008 11 02 19 30  63  5.1 999 99.0 9999
2008 11 02 19 40  70  5.4 999 99.0 9999
2008 11 02 19 50  66  5.1  72  7.4 1928
2008 11 02 20 00  75  5.0 999 99.0 9999
2008 11 02 20 10  77  5.4 999 99.0 9999
2008 11 02 20 20  82  5.4 999 99.0 9999
2008 11 02 20 30  73  4.9 999 99.0 9999
2008 11 02 20 40  82  4.9 999 99.0 9999
2008 11 02 20 50  74  4.8  77  7.2 1950
2008 11 02 21 00  83  4.8 999 99.0 9999
2008 11 02 21 10  79  5.5 999 99.0 9999
2008 11 02 21 20  75  5.9 999 99.0 9999
2008 11 02 21 30  83  6.4 999 99.0 9999
2008 11 02 21 40  83  6.4 999 99.0 9999
2008 11 02 21 50  83  6.0  89  8.4 2128
2008 11 02 22 00  83  5.9 999 99.0 9999
2008 11 02 22 10  95  6.1 999 99.0 9999
2008 11 02 22 20  92  5.6 999 99.0 9999
2008 11 02 22 30  95  6.1 999 99.0 9999
2008 11 02 22 40  91  6.9 999 99.0 9999
2008 11 02 22 50  98  6.8 102  9.6 2249
2008 11 02 23 00 103  6.8 999 99.0 9999
2008 11 02 23 10  97  7.4 999 99.0 9999
2008 11 02 23 20  95  7.5 999 99.0 9999
2008 11 02 23 30  95  7.1 999 99.0 9999
2008 11 02 23 40  97  7.1 999 99.0 9999
2008 11 02 23 50  97  6.9  91  9.9 2327
2008 11 03 00 00  96  6.9 999 99.0 9999
2008 11 03 00 10  95  6.7 999 99.0 9999
2008 11 03 00 20  92  7.1 999 99.0 9999
2008 11 03 00 30  89  7.7 999 99.0 9999
2008 11 03 00 40  95  7.4 999 99.0 9999
2008 11 03 00 50  92  8.1  92 10.4 0036
2008 11 03 01 00  94  7.7 999 99.0 9999
2008 11 03 01 10  96  8.0 999 99.0 9999
2008 11 03 01 20 100  8.2 999 99.0 9999
2008 11 03 01 30 104  8.0 999 99.0 9999
2008 11 03 01 40 107  7.9 999 99.0 9999
2008 11 03 01 50 101  8.0 109 10.2 0135
2008 11 03 02 00 109  7.9 999 99.0 9999
2008 11 03 02 10 104  8.2 999 99.0 9999
2008 11 03 02 20 109  8.0 999 99.0 9999
2008 11 03 02 30 108  8.2 999 99.0 9999
2008 11 03 02 40 110  8.3 999 99.0 9999
2008 11 03 02 50 110  8.1 102 10.7 0229
2008 11 03 03 00 115  7.6 999 99.0 9999
2008 11 03 03 10 114  7.6 999 99.0 9999
2008 11 03 03 20 121  7.8 999 99.0 9999
2008 11 03 03 30 124  7.3 999 99.0 9999
2008 11 03 03 40 124  7.1 999 99.0 9999
2008 11 03 03 50 129  7.0 109  9.9 0301
2008 11 03 04 00 124  7.1 999 99.0 9999
